z,Time,ISM,Stars,H,He,C,N,O,Fe
1.90990990990991,7346602759.675225,3518471171178.5815,25655814962.097496,1658107559075.2927,523612913392.75867,112250232903.68741,112250232903.68741,112250232903.68741,0.0
1.921921921921922,7358019971.015,3530642241421.2056,25655814962.097496,1665970070452.0198,526095811722.2583,112858786415.8183,112858786415.8183,112858786415.8183,0.0
1.9339339339339339,7369320442.238778,3542813311663.8296,25655814962.097496,1673832581828.7468,528578710051.75793,113467339927.94919,113467339927.94919,113467339927.94919,0.0
1.9459459459459458,7380505837.660719,3554984381906.4536,25655814962.097496,1681695093205.4739,531061608381.25757,114075893440.08008,114075893440.08008,114075893440.08008,0.0
1.957957957957958,7391577791.212079,3567155452149.0776,25655814962.097496,1689557604582.201,533544506710.7572,114684446952.21097,114684446952.21097,114684446952.21097,0.0
1.96996996996997,7402537907.116384,3579326522391.7017,25655814962.097496,1697420115958.928,536027405040.25684,115293000464.34186,115293000464.34186,115293000464.34186,0.0
1.981981981981982,7413387760.546945,3591497592634.3257,25655814962.097496,1705282627335.655,538510303369.7565,115901553976.47275,115901553976.47275,115901553976.47275,0.0
1.993993993993994,7424128898.267241,3603549338658.885,25655814962.097496,1713068055267.5122,540968859558.7708,116504141277.7004,116504141277.7004,116504141277.7004,0.0
2.006006006006006,7434762839.254678,3615601084683.444,25655814962.097496,1720853483199.3694,543427415747.78516,117106728578.92804,117106728578.92804,117106728578.92804,0.0
2.018018018018018,7445291075.308244,3627652830708.003,25655814962.097496,1728638911131.2266,545885971936.7995,117709315880.15569,117709315880.15569,117709315880.15569,0.0
2.03003003003003,7455715071.640504,3639704576732.562,25655814962.097496,1736424339063.0837,548344528125.81384,118311903181.38333,118311903181.38333,118311903181.38333,0.0
2.042042042042042,7466036267.45443,3651756322757.121,25655814962.097496,1744209766994.941,550803084314.8256,118914490482.61098,118914490482.61098,118914490482.61098,0.0
2.054054054054054,7476256076.50548,3663808068781.68,25655814962.097496,1751995194926.798,553261640503.8337,119517077783.83862,119517077783.83862,119517077783.83862,0.0
2.066066066066066,7486375887.649406,3675859814806.2393,25655814962.097496,1759780622858.6553,555720196692.8419,120119665085.06627,120119665085.06627,120119665085.06627,0.0
2.078078078078078,7496397065.376152,3687911560830.7983,25655814962.097496,1767566050790.5125,558178752881.8501,120722252386.29391,120722252386.29391,120722252386.29391,0.0
2.09009009009009,7506320950.330291,3699963306855.3574,25655814962.097496,1775351478722.3696,560637309070.8583,121324839687.52156,121324839687.52156,121324839687.52156,0.0
2.1021021021021022,7516148859.818367,3712015052879.9165,25655814962.097496,1783136906654.2268,563095865259.8665,121927426988.7492,121927426988.7492,121927426988.7492,0.0
2.114114114114114,7525882088.303537,3724066798904.4756,25655814962.097496,1790922334586.084,565554421448.8746,122530014289.97685,122530014289.97685,122530014289.97685,0.0
2.126126126126126,7535521907.88787,3736118544929.0347,25655814962.097496,1798707762517.9412,568012977637.8828,123132601591.2045,123132601591.2045,123132601591.2045,0.0
